Incident_Date,Incident_id,id,link
october-16-2023,ispt0264,221,https://airwars.org/civilian-casualties/ispt0264-october-16-2023/
october-16-2023,ispt0267,222,https://airwars.org/civilian-casualties/ispt0267-october-16-2023/
october-16-2023,ispt0275,223,https://airwars.org/civilian-casualties/ispt0275-october-16-2023/
october-16-2023,ispt0253,224,https://airwars.org/civilian-casualties/ispt0253-october-16-2023/
october-16-2023,ispt0243,225,https://airwars.org/civilian-casualties/ispt0243-october-16-2023/
october-16-2023,ispt0269,226,https://airwars.org/civilian-casualties/ispt0269-october-16-2023/
october-16-2023,ispt0255,227,https://airwars.org/civilian-casualties/ispt0255-october-16-2023/
october-16-2023,ispt0256,228,https://airwars.org/civilian-casualties/ispt0256-october-16-2023/
october-16-2023,ispt0260,229,https://airwars.org/civilian-casualties/ispt0260-october-16-2023/
october-16-2023,ispt0244,230,https://airwars.org/civilian-casualties/ispt0244-october-16-2023/
october-16-2023,ispt0238,231,https://airwars.org/civilian-casualties/ispt0238-october-16-2023/
october-16-2023,ispt0242,232,https://airwars.org/civilian-casualties/ispt0242-october-16-2023/
october-16-2023,ispt0248,233,https://airwars.org/civilian-casualties/ispt0248-october-16-2023/
october-16-2023,ispt0268,234,https://airwars.org/civilian-casualties/ispt0268-october-16-2023/
october-17-2023,ispt0280,235,https://airwars.org/civilian-casualties/ispt0280-october-17-2023/
october-17-2023,ispt0345,236,https://airwars.org/civilian-casualties/ispt0345-october-17-2023/
october-17-2023,ispt0332g,237,https://airwars.org/civilian-casualties/ispt0332g-october-17-2023/
october-17-2023,ispt0332a,238,https://airwars.org/civilian-casualties/ispt0332a-october-17-2023/
october-17-2023,ispt0332b,239,https://airwars.org/civilian-casualties/ispt0332b-october-17-2023/
october-17-2023,ispt0312,240,https://airwars.org/civilian-casualties/ispt0312-october-17-2023/
october-17-2023,ispt0288,241,https://airwars.org/civilian-casualties/ispt0288-october-17-2023/
october-17-2023,ispt0301,242,https://airwars.org/civilian-casualties/ispt0301-october-17-2023/
october-17-2023,ispt0302,243,https://airwars.org/civilian-casualties/ispt0302-october-17-2023/
october-17-2023,ispt0285,244,https://airwars.org/civilian-casualties/ispt0285-october-17-2023/
october-17-2023,ispt0303,245,https://airwars.org/civilian-casualties/ispt0303-october-17-2023/
october-17-2023,ispt0306,246,https://airwars.org/civilian-casualties/ispt0306-october-17-2023/
october-17-2023,ispt0307,247,https://airwars.org/civilian-casualties/ispt0307-october-17-2023/
october-17-2023,ispt0300,248,https://airwars.org/civilian-casualties/ispt0300-october-17-2023/
october-17-2023,ispt0286,249,https://airwars.org/civilian-casualties/ispt0286-october-17-2023/
october-17-2023,ispt0289,250,https://airwars.org/civilian-casualties/ispt0289-october-17-2023/
october-17-2023,ispt0295,251,https://airwars.org/civilian-casualties/ispt0295-october-17-2023/
october-17-2023,ispt0297,252,https://airwars.org/civilian-casualties/ispt0297-october-17-2023/
october-17-2023,ispt0283,253,https://airwars.org/civilian-casualties/ispt0283-october-17-2023/
october-17-2023,ispt0298,254,https://airwars.org/civilian-casualties/ispt0298-october-17-2023/
october-17-2023,ispt0287,255,https://airwars.org/civilian-casualties/ispt0287-october-17-2023/
october-17-2023,ispt0299,256,https://airwars.org/civilian-casualties/ispt0299-october-17-2023/
october-17-2023,ispt0296,257,https://airwars.org/civilian-casualties/ispt0296-october-17-2023/
october-17-2023,ispt0310,258,https://airwars.org/civilian-casualties/ispt0310-october-17-2023/
october-17-2023,ispt0284,259,https://airwars.org/civilian-casualties/ispt0284-october-17-2023/
october-17-2023,ispt0293,260,https://airwars.org/civilian-casualties/ispt0293-october-17-2023/
october-17-2023,ispt0294,261,https://airwars.org/civilian-casualties/ispt0294-october-17-2023/
october-17-2023,ispt0279,262,https://airwars.org/civilian-casualties/ispt0279-october-17-2023/
october-17-2023,ispt0282,263,https://airwars.org/civilian-casualties/ispt0282-october-17-2023/
october-17-2023,ispt0290,264,https://airwars.org/civilian-casualties/ispt0290-october-17-2023/
october-18-2023,ispt0359c,265,https://airwars.org/civilian-casualties/ispt0359c-october-18-2023/
october-18-2023,ispt0346,266,https://airwars.org/civilian-casualties/ispt0346-october-18-2023/
october-18-2023,ispt0357,267,https://airwars.org/civilian-casualties/ispt0357-october-18-2023/
october-18-2023,ispt0358,268,https://airwars.org/civilian-casualties/ispt0358-october-18-2023/
october-18-2023,ispt0359,269,https://airwars.org/civilian-casualties/ispt0359-october-18-2023/
october-18-2023,ispt0343,270,https://airwars.org/civilian-casualties/ispt0343-october-18-2023/
october-18-2023,ispt0350,271,https://airwars.org/civilian-casualties/ispt0350-october-18-2023/
october-18-2023,ispt0351,272,https://airwars.org/civilian-casualties/ispt0351-october-18-2023/
october-18-2023,ispt0353,273,https://airwars.org/civilian-casualties/ispt0353-october-18-2023/
october-18-2023,ispt0354,274,https://airwars.org/civilian-casualties/ispt0354-october-18-2023/
october-18-2023,ispt0320,275,https://airwars.org/civilian-casualties/ispt0320-october-18-2023/
october-18-2023,ispt0336,276,https://airwars.org/civilian-casualties/ispt0336-october-18-2023/
october-18-2023,ispt0322,277,https://airwars.org/civilian-casualties/ispt0322-october-18-2023/
october-18-2023,ispt0337,278,https://airwars.org/civilian-casualties/ispt0337-october-18-2023/
october-18-2023,ispt0339,279,https://airwars.org/civilian-casualties/ispt0339-october-18-2023/
october-18-2023,ispt0342,280,https://airwars.org/civilian-casualties/ispt0342-october-18-2023/
october-18-2023,ispt0344,281,https://airwars.org/civilian-casualties/ispt0344-october-18-2023/
october-18-2023,ispt0352,282,https://airwars.org/civilian-casualties/ispt0352-october-18-2023/
october-18-2023,ispt0331,283,https://airwars.org/civilian-casualties/ispt0331-october-18-2023/
october-18-2023,ispt0334,284,https://airwars.org/civilian-casualties/ispt0334-october-18-2023/
october-18-2023,ispt0355,285,https://airwars.org/civilian-casualties/ispt0355-october-18-2023/
october-18-2023,ispt0327,286,https://airwars.org/civilian-casualties/ispt0327-october-18-2023/
october-18-2023,ispt0317,287,https://airwars.org/civilian-casualties/ispt0317-october-18-2023/
october-18-2023,ispt0319,288,https://airwars.org/civilian-casualties/ispt0319-october-18-2023/
october-18-2023,ispt0329,289,https://airwars.org/civilian-casualties/ispt0329-october-18-2023/
october-18-2023,ispt0347,290,https://airwars.org/civilian-casualties/ispt0347-october-18-2023/
october-18-2023,ispt0321,291,https://airwars.org/civilian-casualties/ispt0321-october-18-2023/
october-18-2023,ispt0323,292,https://airwars.org/civilian-casualties/ispt0323-october-18-2023/
october-18-2023,ispt0318,293,https://airwars.org/civilian-casualties/ispt0318-october-18-2023/
october-18-2023,ispt0324,294,https://airwars.org/civilian-casualties/ispt0324-october-18-2023/
october-19-2023,ispt0376,295,https://airwars.org/civilian-casualties/ispt0376-october-19-2023/
october-19-2023,ispt0380,296,https://airwars.org/civilian-casualties/ispt0380-october-19-2023/
october-19-2023,ispt0381,297,https://airwars.org/civilian-casualties/ispt0381-october-19-2023/
october-19-2023,ispt0374,298,https://airwars.org/civilian-casualties/ispt0374-october-19-2023/
october-19-2023,ispt0379,299,https://airwars.org/civilian-casualties/ispt0379-october-19-2023/
october-19-2023,ispt0382,300,https://airwars.org/civilian-casualties/ispt0382-october-19-2023/
october-19-2023,ispt0377,301,https://airwars.org/civilian-casualties/ispt0377-october-19-2023/
october-19-2023,ispt0384,302,https://airwars.org/civilian-casualties/ispt0384-october-19-2023/
